prompt_id,model,pair,bleu,bertscore_f1
f_01,nim-llama,base vs topic_fronted,7.722154365246895,85.70063710212708
f_01,nim-llama,base vs emphasis_shift,5.05383810570086,89.48418498039246
f_01,nim-llama,topic_fronted vs emphasis_shift,12.881996301797725,87.16654181480408
f_01,nim-mistral,base vs topic_fronted,5.597186441851649,89.7071361541748
f_01,nim-mistral,base vs emphasis_shift,83.94327083733333,99.51729774475098
f_01,nim-mistral,topic_fronted vs emphasis_shift,1.6869189933899544,89.99842405319214
f_01,nim-qwen,base vs topic_fronted,1.4780822562194806,75.54373145103455
f_01,nim-qwen,base vs emphasis_shift,1.6813911775965142,75.72106719017029
f_01,nim-qwen,topic_fronted vs emphasis_shift,6.038889664964508,84.6174955368042
f_02,nim-llama,base vs topic_fronted,14.559085605055495,87.68577575683594
f_02,nim-llama,base vs emphasis_shift,8.911430357150644,85.69140434265137
f_02,nim-llama,topic_fronted vs emphasis_shift,6.333813730376206,85.90497970581055
f_02,nim-mistral,base vs topic_fronted,3.7870742481546884,83.72113108634949
f_02,nim-mistral,base vs emphasis_shift,4.196186051125682,81.76450729370117
f_02,nim-mistral,topic_fronted vs emphasis_shift,4.667843223512549,81.31242394447327
f_02,nim-qwen,base vs topic_fronted,1.428863122599609,74.01881814002991
f_02,nim-qwen,base vs emphasis_shift,10.685825403973347,84.32389497756958
f_02,nim-qwen,topic_fronted vs emphasis_shift,1.1745846426822377,76.03802680969238
f_03,nim-llama,base vs topic_fronted,3.7584251004669165,79.86373901367188
f_03,nim-llama,base vs emphasis_shift,19.19381545244837,87.35154867172241
f_03,nim-llama,topic_fronted vs emphasis_shift,1.6246666379698904,80.28060793876648
f_03,nim-mistral,base vs topic_fronted,5.429582722028727,86.14757657051086
f_03,nim-mistral,base vs emphasis_shift,8.306443472649887,87.7892017364502
f_03,nim-mistral,topic_fronted vs emphasis_shift,9.14479354445152,88.09415102005005
f_03,nim-qwen,base vs topic_fronted,0.0,91.77139401435852
f_03,nim-qwen,base vs emphasis_shift,0.0,80.13408780097961
f_03,nim-qwen,topic_fronted vs emphasis_shift,0.0,77.94009447097778
f_04,nim-llama,base vs topic_fronted,6.6562139406467455,83.3395004272461
f_04,nim-llama,base vs emphasis_shift,2.482548444638528,82.47577548027039
f_04,nim-llama,topic_fronted vs emphasis_shift,2.934829034173255,80.72277903556824
f_04,nim-mistral,base vs topic_fronted,4.255176322482377,84.6024215221405
f_04,nim-mistral,base vs emphasis_shift,4.734714161758224,87.39104270935059
